"10.5",NA,"64","로즈골드|골드|",NA,NA,"0","0","700000원","아이패드프로2세대 10.5 로즈골드 64gb","https://cafe.naver.com/joonggonara/594201336","2019.05.20."
"10.5","Error","256",NA,NA,NA,"0","0","820000원","아이패드 프로 2세대 로골 10.5인치 256G 셀룰러+WIFI","https://cafe.naver.com/joonggonara/594197179","2019.05.20."
"12.9","cellular","64","스페이스 그레이|",NA,NA,"0","0","730000원","아이패드 프로2세대 12.9 64g 셀룰러 버전 스그 판매합니다.","https://cafe.naver.com/joonggonara/594196781","2019.05.20."
"10.5","wifi",NA,"스페이스 그레이|",NA,NA,"0","0","700000원","(팝니다,춘천)아이패드 프로 10.5 2세대 와이파이 65g 스페이스그레이","https://cafe.naver.com/joonggonara/594190325","2019.05.20."
"10.5","wifi","64","스페이스 그레이|",NA,"리퍼제품","0","0","680000원","(부산) 아이패드 프로 2세대 10.5 64 wifi 스그 리퍼 후 미사용 팝니다.","https://cafe.naver.com/joonggonara/594183625","2019.05.20."
"10.5","wifi","64","스페이스 그레이|",NA,"리퍼제품","0","0","680000원","(부산) 아이패드 프로 2세대 10.5 64 wifi 스그 리퍼 후 미사용 팝니다.","https://cafe.naver.com/joonggonara/594182841","2019.05.20."
"10.5",NA,NA,NA,NA,NA,"0","0",NA,"[공식앱][판매완료][아이패드 프로 2세대 10.5 ][630,000원]","https://cafe.naver.com/joonggonara/594177412","2019.05.20."
"10.5","wifi","256",NA,NA,NA,"0","0","580000원","광주목포 아이패드프로2 10.5 256wifi팝니다","https://cafe.naver.com/joonggonara/594177136","2019.05.20."
"10.5","Wi-Fi","256","로즈골드|골드|",NA,"리퍼제품","0","0","750000원","아이패드 프로 2세대 10.5인치 256GB Wi-Fi 로즈골드 리퍼 미개봉 판매합니다","https://cafe.naver.com/joonggonara/594175027","2019.05.20."
"12.9","Error","256","골드|",NA,NA,"0","0","800000원","아이패드 프로 12.9인치 2세대 LTE + WIFI 256gb 골드","https://cafe.naver.com/joonggonara/594151467","2019.05.20."
"10.5",NA,"512",NA,NA,"미개봉","0","0","880000원","아이패드 프로 2세대 10.5 512gb 미개봉","https://cafe.naver.com/joonggonara/594147229","2019.05.20."
"10.5",NA,"256","로즈골드|골드|",NA,"풀박스","0","0","750000원","풀박 Mpf22kh/a 아이패드 프로 2세대 10.5 로즈골드 256GB","https://cafe.naver.com/joonggonara/594145607","2019.05.20."
NA,NA,NA,"스페이스 그레이|",NA,NA,"0","0","12345원","아이패드 프로2세대 스그색상 구입원합니다","https://cafe.naver.com/joonggonara/594137782","2019.05.20."
NA,"LTE","256",NA,NA,NA,"0","0","25000원","아이패드프로2 256기가 LTE 팝니다","https://cafe.naver.com/joonggonara/594131566","2019.05.20."
"10.5","cellular","512","로즈골드|골드|",NA,NA,"0","0","700000원","아이패드 프로2 10.5형 512g 로즈골드 셀룰러 모델","https://cafe.naver.com/joonggonara/594129768","2019.05.20."
"12.9","wifi","256","스페이스 그레이|",NA,NA,"0","0","730000원","아이패드 프로 2세대 12.9 스페이스그레이 256g wifi 팝니다","https://cafe.naver.com/joonggonara/594114867","2019.05.20."
"10.5","wifi","256","스페이스 그레이|",NA,NA,"0","0","730000원","아이패드 프로 2세대 10.5 스그 와이파이 256gb 3주사용한 s급팝니다.","https://cafe.naver.com/joonggonara/594113227","2019.05.20."
"12.9","cellular","64",NA,NA,NA,"0","0","750000원","아이패드 프로 12.9 2세대 64g 셀룰러 스페이스 그레이 팝니다","https://cafe.naver.com/joonggonara/594109920","2019.05.20."
"10.5","wifi","256",NA,NA,NA,"0","0","700000원","아이패드 프로 2세대 10.5 스페이스 그레이 wifi 256GB","https://cafe.naver.com/joonggonara/594107369","2019.05.20."
"10.5","cellular","512","로즈골드|골드|",NA,NA,"0","0","750000원","아이패드 프로2 10.5형 512G 로즈골드 셀룰러 모델","https://cafe.naver.com/joonggonara/594102210","2019.05.20."
"10.5","wifi","512","골드|",NA,"미개봉","0","0","900000원","아이패드 프로2 10.5 512G 와이파이 골드 미개봉 새제품 팝니다.","https://cafe.naver.com/joonggonara/594092114","2019.05.20."
"12.9","Error","256",NA,NA,NA,"0","0","790000원","아이패드프로 2세대 12.9인치 셀룰러 LTE 256기가","https://cafe.naver.com/joonggonara/594087676","2019.05.20."
"12.9","WIFI","64",NA,NA,NA,"0","0","760000원","아이패드 프로2세대 12.9인치 64gb WIFI 모델 팝니다.","https://cafe.naver.com/joonggonara/594084676","2019.05.20."
"10.5","wifi","256","스페이스 그레이|",NA,NA,"0","0","3000원","광주 아이패드 프로2 10.5 스그 256 wifi 팝니다","https://cafe.naver.com/joonggonara/594080983","2019.05.20."
"10.5","wifi","512",NA,NA,NA,"0","0","900000원","아이패드 프로 2세대10.5 와이파이 512gb","https://cafe.naver.com/joonggonara/594078685","2019.05.20."
"10.5","cellular","256","실버|","애플케어플러스|","새상품","0","0","770000원","아이패드 프로 2세대 10.5 셀룰러 256GB 실버 새제품 애케플 판매합니다.","https://cafe.naver.com/joonggonara/594071541","2019.05.20."
"10.5","wifi","64","골드|",NA,NA,"0","0","630000원","아이패드 프로 2세대 10.5 64기가 와이파이 골드 미사용 \\. 보증기간 20년1월","https://cafe.naver.com/joonggonara/594069912","2019.05.20."
"10.5","wifi","64",NA,NA,NA,"0","0","620000원","아이패드 프로2 10.5 64 wifi 리퍼 판매","https://cafe.naver.com/joonggonara/594068805","2019.05.20."
